ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001487438-13-000014	0	85	225586	N
0001487438-13-000013	0	79	201298	N
0001487438-13-000012	0	93	237678	N
0001487438-13-000011	0	97	257532	N
0001487438-13-000010	0	93	280465	N
0001487438-13-000009	0	103	286656	N
0001487438-13-000008	0	88	232551	N
0001132716-13-000045	0	2	3193637	Y
0001487438-13-000007	0	88	280478	N
0001062993-13-003184	0	18	326706	N
0000885118-13-000019	0	4	157855	N
0000885118-13-000015	0	2	186853	N
0000885118-13-000011	0	2	274535	N
0000885118-13-000013	0	2	156769	N
0000885118-13-000012	0	2	137202	N
0000885118-13-000018	0	2	234438	N
0000885118-13-000008	0	4	127778	N
0001487438-13-000006	0	97	320016	N
0000885118-13-000010	0	2	288558	N
0000885118-13-000007	0	5	130213	N
0000885118-13-000017	0	2	207754	N
0000885118-13-000014	0	2	180410	N
0000885118-13-000009	0	1	156560	N
0000885118-13-000016	0	2	202198	N
0000885118-13-000005	0	4	69419	N
0001387131-13-002344	0	17	1246519	
0001172661-13-000938	0	51	506334	
0001172661-13-000937	0	58	458640	
0001172661-13-000936	0	58	502674	
0001172661-13-000935	0	65	251706	
0001172661-13-000934	0	64	232269	
0001172661-13-000933	0	55	260498	
0001172661-13-000932	0	49	173340	
0001172661-13-000931	0	58	134271	
0001164062-13-000004	0	82	229248	N
0001487438-13-000005	0	94	312287	N
0001487438-13-000004	0	95	339976	N
0001487438-13-000003	0	101	353606	N
0001085146-13-001075	17	5953	25526624	
0001164691-13-000063	1	2	233504	N
0001278573-13-000003	0	99	832671	
0001535227-13-000004	2	150	89210	N
0001140361-13-025848	1	1732	919904	N
0001121477-13-000034	0	3	1248	
0001121477-13-000033	0	2	1747	
0001121477-13-000032	0	3	2342	
0001121477-13-000031	0	5	3175	
0001121477-13-000030	0	5	3324	
0001121477-13-000029	0	6	4107	
0001121477-13-000028	0	6	3788	
0001121477-13-000027	0	6	4457	
0001121477-13-000026	0	6	4684	
0001121477-13-000025	0	6	5441	
0001121477-13-000024	0	7	6576	
0001121477-13-000023	0	7	7386	
0001121477-13-000022	0	6	7994	
0001121477-13-000019	0	5	7865	
0001121477-13-000018	0	7	15341	
0001140361-13-025747	0	14	112445	N
0001487438-13-000002	0	98	442783	N
0001085146-13-001065	17	5574	25971056	
0001140361-13-025388	1	1732	9198400	N
0001472190-13-000002	0	324	17261494	N
0000769993-13-000385	8	10085	240738468	N
0000769993-13-000384	8	10268	250413481	N
0000769993-13-000383	8	10207	224587331	N
0000769993-13-000382	8	9871	213947841	N
0001376474-13-000305	4	1284	27085736	N
0001140361-13-025260	6	562	1867223	N
0001576151-13-000003	0	941	236709	N
0001140361-13-025132	1	57	110547	N
0001140361-13-025127	1	50	133927	N
0000009631-13-000008	1	585	20890014	N
0001521536-13-000519	6	1	30792	
0000728889-13-000871	16	857	67069702	N
0000728889-13-000870	16	857	67069702	
0001140361-13-024679	1	7	195484794	N
0001140361-13-024529	0	27	12402293	N
0001288136-13-000051	0	14	250533	
0001104659-13-047486	2	146	166728	N
0001340807-13-000019	0	71	778132	N
0001453415-13-000011	2	2231	8135749	
0001062993-13-002937	0	141	1396023	N
0001425738-13-000011	0	50	544807	N
0001190327-13-000002	0	45	858783	N
0001140361-13-023826	6	549	1713389	N
0000938077-13-000005	0	239	182399	N
0001172661-13-000924	0	116	6253825	
0001063571-13-000004	0	140	1359954	N
0001104659-13-045781	2	503	6873932	N
0001162044-13-000626	0	96	121330	N
0001074027-13-000003	0	88	344165	N
0001566653-13-000012	0	304	299592	N
0001085146-13-001011	1	2377	23354681	
0001058800-13-000003	0	199	932326	N
0000950123-13-003783	4	1317	23791037	N
0000950123-13-003778	4	37	343851	N
0000849854-13-000003	1	35	108065	N
0000849854-13-000002	1	35	97138	N
0001103245-13-000003	0	43	94878	N
0001140361-13-023099	0	477	235604	N
0001085146-13-001009	0	176	460961	N
0001372270-13-000014	0	228	33032	N
0001533551-13-000004	0	93	1171567	N
0001280577-13-000006	0	132	260436	
0001035463-13-000003	0	467	654900	N
0001398344-13-002628	0	2	250	
0001398344-13-002626	0	1	173	
0001062993-13-002776	0	76	129420	N
0000950123-13-003752	1	9	6474717	N
0001053911-13-000001	5	389	185479	N
0001387131-13-002055	0	17	1246520	
0001494234-13-000002	0	155	236244	N
0001019687-13-002080	0	260	131703	
0000910472-13-002075	0	52	226671	N
0001164691-13-000058	1	1	162823	
0001164691-13-000061	1	1	270	
0001164691-13-000059	1	1	58887	
0001164691-13-000060	1	1	31226	
0001009215-13-000004	1	318	2902804	N
0001352449-13-000005	0	71	127963	N
0001144204-13-031310	0	821	19365776	
0001085146-13-001008	5	422	962687	N
0000913849-13-000170	0	542	3761964	
0001223779-13-000021	0	1518	9618047	N
0001144204-13-031030	0	925	19269471	
0001140361-13-022236	0	911	536339	N
0001569709-13-000002	0	38	309943	N
0001085146-13-001007	17	5631	27666367	
0001144204-13-030902	0	28	736114390	
0001144204-13-030837	0	1	228157	
0000767684-13-000008	0	136	778876	N
0001140361-13-022071	0	29	427860	N
0000767684-13-000007	0	136	778876	N
0001144204-13-030738	0	3	137381	
0000767684-13-000006	0	136	778876	N
0001140361-13-021997	0	95	360804	N
0001140361-13-021979	0	307	477079	N
0001062993-13-002709	0	90	327519	N
0001398344-13-002589	0	224	294996	
0000950123-13-003669	0	788	1549941	N
